,Functional Area,Applies To,Time Scale,Time Range,Versions,Breakback,Users List,Cell Count,Notes,Read Access Driver,Write Access Driver,Data Tags,Managed By,Referenced By,Used in Dashboards,Line Items
└ IP 10a. Verdeling naar grootboekrekening,INPUT,"MJP Versions L2, COEA, SS - Account L12 - Budget, SS Kostenplaats L7 - Budget, LIS (DA45) Budgetitems",Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,246890011,HV: Check IP 10a NEW and remove this one,,,,,"'└ IP 10b. Verdeling naar grootboekrekening - Import', 'CA 11. Verdeling naar Grootboekrekening overzicht', '└ CA 11a. Verdeling naar maand overzicht', 'SEC 03. Subset Account L12 - Budget Access'",,"Eigen Invoer, Verdeling %, % Eigen Invoer Total, Driver, Verdeling, % Driver Total, No Driver, Final Waarde, Driver <> 0?, --- DRIVERS ---, PY Actuals, PV Actuals, PY Higher Level, PV Higher Level, Waarde + Driver, Waarde + Driver Technical, Absolute Waarde UMDT, ss - Account L12 Split Actuals, ss - Account L12 Split Prev. Version, --- TECHNICAL ---, Mapping GREN, Rekeningscategorie, CF Eigen Invoer, CF No Driver, Concatenate, Reload List?, Concat Short, Find item, OPEX, CAPEX, Extern, Afdelingkosten, Aanmaken?, Load?, Write?, Close Access, Filter Blanks, Filter Zero, Test, Driver for automatisch, Driver for actuals, Driver for LY actuals, Driver for prev version"
└ IP 10a NEW. Verdeling naar grootboekrekening,INPUT,"MJP Versions L2, COEA, Rekeningcategorie, SS - Account L12 - Budget, SS Kostenplaats L7 - Budget",Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,178770717,HV: Remove rekeningscategorie and Publish in 5.1,,,,,"'└ IP 10b. Verdeling naar grootboekrekening - Import', '└ IP 10c. Selecteer seizoenspatroon', 'CA 11 NEW. Verdeling naar Grootboekrekening', '└ CA 11a NEW. Verdeling naar maand overzicht'",,"Eigen Invoer, Verdeling %, Driver, Verdeling, No Driver, Final Waarde, --- DRIVERS ---, CY Actuals, LY Actuals, PV Actuals, Waarde + Driver, Waarde + Driver Technical, ss - Account L12 Split Actuals CY, ss - Account L12 Split Actuals LY, ss - Account L12 Split Prev. Version, Driver for automatisch, Driver for CY actuals, Driver for LY actuals, Driver for prev version, ---Technical---, Driver <> 0?, Waarde <> 0?, Unicode text, Unicode item, Format Eigen Invoer"
└ IP 10b. Verdeling naar grootboekrekening - Import,INPUT,"Users, COEA, SS - Account L12 - Budget, SS Kostenplaats L7 - Budget",Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,58401842,HV: This module should not exist,,,,,"'└ IP 10a. Verdeling naar grootboekrekening', 'IM 20. COEA-KP-ACC'",,"Waarde, Waarde - collect, Waarde - Collect [NEW], COEA, MJP Kostenplaats, Account, Afdeling, Concatenate CODE, Concatenate LIST, Contains Data?, New?, - KPI -, To be created leaf, To be created KPI"
└ IP 10c. Selecteer seizoenspatroon,INPUT,"MJP Versions L2, Uni-code COEA-MJP-ACC",Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,263485,,,,,,"'└ IP 10d. Calculatie seizoenspatronen', 'RP 27. Check report overview', 'RP 28. Controle Volledigheid GBR/Maand', '└ FI 07an. User Filters MJP Versions - COEA-MJP-ACC'",,"COEA, Afdeling, Kostenplaats, Grootboekrekening, Rekeningcategorie, Seizoenspatroon, Finaal Seizoenspatroon, Finaal seizoenspatroon OLD, Overwrite?, FY waarde, Seizoenswaarde, Inflatie %, FY waarde incl inflatie, Afwijkingspercentage, Check, Actuals patroon?, FTE patroon?, -- KPI --, Nog in te vullen leaf, ---Technical---, Check Final SP ISBLANK, Not Automatische Allocatie?, Format Input Seizoenspatroon, Format input, Check if FY Waarde or Seizoenwaarde <> 0"
└ IP 10d. Calculatie seizoenspatronen,INPUT,"MJP Versions L2, Uni-code COEA-MJP-ACC",Month,MJP BU TR,Not Applicable,New Line Items: Off,Show All Users: On,7552634,,,,,,"'IP 05. Seizoenspatronen', '└ IP 10c. Selecteer seizoenspatroon', '└ CA 11a. Verdeling naar maand overzicht', '└ CA 11a NEW. Verdeling naar maand overzicht', 'CA 16. Controle Dekking Uren', 'CA 16 NEW. Controle Dekking COEA', '└CA 16a. Controle UMD vs Thema', 'CA 50. Monthly allocation key FSP', 'CA 54. Bezettingsresultaat en dekkingsgraad', 'RP 20. COEA tabel per kostenplaats', 'RP 26. Calculatie seizoenspatronen Totaal', 'RP 29. P&L Overzicht', 'RP 30. Controle DB en TS', 'IM 01. Account L12', 'IM 62 Kostenplaats', 'EX 02. Export plan to Powerapps financieel', 'EX 04. Export plan to SAP financieel'",,"Berekende waarde obv seizoenspatroon, Overwrite?, Overwrite waarde, FY waarde, Inflatie %, Inflatie, Staging finale waarde incl. inflatie, FY waarde incl. Inflatie, Waarde in Kostenplaats, Waarde in Account L12, Waarde in budget jaar?, Filter show, Technical, CF Overwrite"
└ IP 10e. Maand FTE Verdeling naar KP,INPUT,"MJP Versions L2, SS - FTE Type FSP, SS Kostenplaats L7 - Budget",Month,MJP BU TR,Not Applicable,New Line Items: Off,Show All Users: On,857556,HV: Rename as IP 10,'FI 04. Read-Only'.Lock all input,'FI 04. Read-Only'.Unlock all input,,,"'└ DA 29a. Meerjarenplan FTEs Driver Selectie', 'IP 05. Seizoenspatronen', '└ IP 10f. - Gemiddeld tarief FTE per kostenplaatsen', '└ IP 10f. NEW - Jaar FTE tarief/uren per KP', 'IP 37. Verdeling FTE niet prestatiesoort', 'RP 07. formatie ontwikkeling', 'IM 62 Kostenplaats', 'EX 03. Export plan to Powerapps formatie'",,"FTE, --- Technical ---, Format input, Waarde in Kostenplaats, afdeling filter test"
└ IP 10f. - Gemiddeld tarief FTE per kostenplaatsen,INPUT,"MJP Versions L2, SS - FTE Type FSP, SS Rekeningcategorie - Personeel, SS Kostenplaats L7 - Budget",Year,MJP BU TR,Not Applicable,New Line Items: Off,Show All Users: On,537504,HV: Check IP 10f NEW and remove this one,'FI 04. Read-Only'.Lock yearly input,'FI 04. Read-Only'.Open yearly input,,,"'IP 10. Verdeling naar kostenplaatsen', 'CA 20. Toeslag Direct'",,"Gemiddelde FTE, Eindstand FTE, Jaartarief per FTE, Tarief * FTE (k€), Overige P-Kosten (k€), Totaal P-Kosten (k€), Productieve uren, --- Technical ---, Totale P-kosten *1000, Budget - Gemiddelde FTE, Budget - Gemiddelde Kosten per FTE, Format input"
└ IP 10f. NEW - Jaar FTE tarief/uren per KP,INPUT,"MJP Versions L2, SS - FTE Type FSP, SS Kostenplaats L7 - Budget",Year,MJP BU TR,Not Applicable,New Line Items: Off,Show All Users: On,305232,,'FI 04. Read-Only'.Lock yearly input,'FI 04. Read-Only'.Open yearly input,,,"'DA 29. Meerjarenplan FTEs per jaar', 'IP 10x1. NEW Afdelingkosten naar KP', 'CA 05. Risico & Kansen', 'CA 06. FTE kosten MJP', 'CA 20. Toeslag Direct', '└ CA 25a. FTE & Uurtarief input', 'RP 08. Formatie MJP'",,"Gemiddelde FTE, Eindstand FTE, Jaartarief per FTE, Tarief * FTE (k€), Overige P-Kosten (k€), Niet FTE gebonden Kosten (k€), Totaal P-Kosten (k€), Productieve uren, --- Technical ---, Totale P-kosten *1000, Budget - Gemiddelde FTE, Budget - Gemiddelde Kosten per FTE, Is Intern?, Format input"
IP 11. IC & Leenmonteurs input,INPUT,"MJP Versions L2, Support list #10, SS Afdeling L5 - IC",Year,TR MJP,Not Applicable,New Line Items: Off,Show All Users: On,359280,,'FI 04. Read-Only'.Lock yearly input,'FI 04. Read-Only'.Open yearly input,,,"'└ IP 11a. Invoer seizoenspatroon IC handmatig', 'CA 04. FTE naar COEA', 'CA 16. Controle Dekking Uren', 'CA 18. Invoer seizoenspatroon IC', '└ CA 25a. FTE & Uurtarief input', 'RP 25. Leenmonteur overview', 'RP 23. Controle Dekking Uren'",,"Intercompany/Leenmonteur, Tegenpartij, GBR, E Code, IC code, Waarde/Dekking (k€), Seizoenspatroon, Waarde Intercompany, Waarde Leenmonteurs (Versturend), Waarde Leenmonteurs (Ontvangend), Waarde Leenmonteurs Totaal, Uren (#), Uren (#) (Versturend), Uren (#) Totaal, ---Technical---, CF Leenmonteur niet Keten, CF Tegenpartij is eigen afdeling, Tegenpartij -> Afdeling L5, Tegenpartij -> Entiteit L3, Afdeling L5 -> Tegenpartij, Handmatig?, Format input, Format Waarde Input, Write access Intercompany, Write access Leenmonteur, Format Input Leenmonteur, Format Input Intercompany, Format Positive/negative input, GBR [OLD], Waarde (k€) [OLD], Intercompany for Copy"
└ IP 11a. Invoer seizoenspatroon IC handmatig,INPUT,"MJP Versions L2, Support list #10, SS Afdeling L5 - IC",Month,TR MJP,Not Applicable,New Line Items: Off,Show All Users: On,261252,,,,,,'CA 18. Invoer seizoenspatroon IC',,"Handmatig, Final seizoensverdeling, ---Technical---, Handmatig?, Format Input"
IP 12. Dummy Refresh,INPUT,,Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,1,,,,,,,,Refresh?
IP 13. UMDT op Activiteiten,INPUT,"MJP Versions L2, SIP Activiteit L4 +, SS Afdeling L5 - Budget Afdelingen",Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,8672413,,'FI 04. Read-Only'.Lock all input,'FI 04. Read-Only'.Unlock all input,,,"'IP 14. Directe toeslagen', 'IP 15. Uurtarieven', 'IP 17. UMDT op Kostenplaats', 'CA 21. Berekend UMDT op Activiteit', '└ CA 21a. Allocatie naar Kostenplaats Activiteit L4+', '└ CA 21a NEW. Allocatie naar CC Activiteit L4+ - Copy', '└ CA 25a. FTE & Uurtarief input', 'FI 11. Activiteit L4 +', 'IM 37. SIP Activiteit L4 +'",,"COE - Activiteit, COE - Activiteit LOOKUP, Eenheid, Q, Uurtarief Selectie, Normuren, Uren € (Handmatig), Uren € (handmatig) Final, Tarief, Uren €, Materiaal €, Diensten Derden €, % CAPEX, Directe Toeslag, Directe Toeslag 2, Geen uurtoeslag?, Geen indirecte toeslag?, Geen materiaal toeslag?, Materiaal Toeslag %, Geen OPSS toeslag?, Enkele Kostenplaats?, Kostenplaats Selectie, UMDT (€) per Q, UMDT (€) Totaal, Allocatie KPI's, Gealloceerd, KPI % gealloceerd, KPI nog te alloceren, ---TECHNICAL---, CF KPI % Gealloceerd, Uren, Afdeling L5, Write Access - Inbesteed, Write Access - Stelpost, Write Access - Stuks, Write Access - Enkele kostenplaats, CAPEX % Selection, OPEX Q, CAPEX Q, Extern Q, Final Q, Extern Write?, Materiaal Toeslag % Write, Format input, Format Stuks, Format Stelpost, Format Capex, Format Inbesteed, Format Materiaal Toeslag, Format Enkele kostenplaats Selection, Format Enkele Kostenplaats, Gealloceerd Totaal, Gealloceerd per afdeling"
IP 14. Directe toeslagen,INPUT,"MJP Versions L2, Directe toeslagen niveau's, SS Afdeling L5 - Budget Afdelingen",Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,5397,,'FI 04. Read-Only'.Lock all input,'FI 04. Read-Only'.Unlock all input,,,"'CA 21. Berekend UMDT op Activiteit', 'CA 23. Berekend UMDT op L3++ Thema''s', 'RP 27. Check report overview', 'EX 09. Export Directe Toeslagen to AACx UMD'",,"Naam, Te dekken kosten, Invoer dekking, Dekking final, Toegepaste TOTEX, Percentage, ---Technical---, Write?, Lock, Format input, Te verdelen and verwerkte uren correct?"
IP 15. Uurtarieven,INPUT,"MJP Versions L2, Uurtarieven niveau's, SS Afdeling L5 - Budget Afdelingen",Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,12855,,'FI 04. Read-Only'.Lock all input,'FI 04. Read-Only'.Unlock all input,,,"'IP 13. UMDT op Activiteiten', 'IP 19. UMDT op L3++ Thema''s'",,"Naam, Totaal Uren Dekking, Totaal Productieve uren, Invoer Dekking, Invoer Productieve uren, Final Dekking, Final Productieve uren, Tarief, Final Tarief, Verwerkte uren, Te verdelen uren, --- Technical ---, Read?, Write?, Format input, Te verdelen and verwerkte uren correct?"
IP 16. Invoer DB/TS kosten,INPUT,"MJP Versions L2, DB/TS items",Year,TR MJP,Not Applicable,New Line Items: Off,Show All Users: On,1161,,'FI 04. Read-Only'.'Lock doorbelastingen/toeslagen','FI 04. Read-Only'.'Unlock doorbelastingen/toeslagen',,,"'└ IP 16b. Invoer DB/TS Inflatie', '└ IP 18b. Seizoenspatronen Calculatie Maand', 'CA 30. DB/TS naar Kostenplaats', 'CA 30a. DB/TS naar Afdeling', 'CA 33. Toeslag indirect dekkings controle'",,"Invoer kosten, Doorbelastingen, Toeslagen, Format input"
└ IP 16a. Invoer DB/TS allocatie,INPUT,"MJP Versions L2, DB/TS items, SS Afdeling L5 - Doorbelastingen en toeslagen",Year,TR MJP,Not Applicable,New Line Items: Off,Show All Users: On,29232,,'FI 04. Read-Only'.'Lock doorbelastingen/toeslagen','FI 04. Read-Only'.'Unlock doorbelastingen/toeslagen',,,"'CA 22. Berekening Doorbelastingen', '└ CA 22a. Berekening toeslagen', '└ CA 22a. Berekening toeslagen - Copy'",,"Allocatiesleutel, Totaal allocatiesleutel, Verhouding, Show?, Format input"
└ IP 16b. Invoer DB/TS Inflatie,INPUT,"MJP Versions L2, DB/TS items, SS Kostensoort - zonder CAPEX",Year,TR MJP,Not Applicable,New Line Items: Off,Show All Users: On,24225,,'FI 04. Read-Only'.'Lock doorbelastingen/toeslagen','FI 04. Read-Only'.'Unlock doorbelastingen/toeslagen',,,"'CA 22. Berekening Doorbelastingen', '└ CA 22a. Berekening toeslagen', '└ CA 22a. Berekening toeslagen - Copy', '└ CA 47a. Versturende Toeslag Indirect Staging', 'CA 47. Toeslag Inflation Staging'",,"Kosten exclusief inflatie, Verdeling %, Inflatie YOY, Inflatie, Kosten verdeeld exclusief inflatie, Kosten inclusief inflatie, Kosten inclusief inflatie (cumulatief), - Technical -, leaf, Gemiddele percentage dashboard, Gemiddelde inflatie YOY, Gemiddelde inflatie, Negatieve Verdeling %?, Format input & Check >100%, KPI calculation, Count DB/TS, One, KPI Verdeling % staging, KPI Verdeling %, KPI Verdeling % Text"
└ IP 16c. Toeslagen percentages,INPUT,"MJP Versions L2, Inflatie excl/incl, SS DB/TS - Toeslagen",Year,TR MJP,Not Applicable,New Line Items: Off,Show All Users: On,810,,,,,,"'└ CA 22a. Berekening toeslagen', '└ CA 22a. Berekening toeslagen - Copy', 'CA 33. Toeslag indirect dekkings controle'",,"---NEW---, Huidig percentage, Overwrite Toeslagen?, Overwrite"
IP 17. UMDT op Kostenplaats,INPUT,"MJP Versions L2, SIP Activiteit L4 +, Support list #10",Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,1309704,,'FI 04. Read-Only'.Lock all input,'FI 04. Read-Only'.Unlock all input,,,"'IP 13. UMDT op Activiteiten', '└ CA 21a. Allocatie naar Kostenplaats Activiteit L4+', '└ CA 21a NEW. Allocatie naar CC Activiteit L4+ - Copy'",,"Afdeling, Subafdeling, Kostenplaats, 1 Kostenplaats Selectie, Q, UMDT Totaal (€), Allocation Method, Allocation %, Allocation Q, Allocation €, Allocation, Allocation Resultaat (€), Final Check, KPI Calculation - OLD TBD, KPI - Total Allocation (%), KPI - To allocate, ---TECHNICAL---, Allocation %?, Allocation Q?, Allocation €?, CF - Total Allocation, CF - Resultaat, Write?, Allocation Method Final, Format allocation %, Format allocation Q, Format allocation €, Format input"
IP 18. Doorbelasting & Toeslagen split,INPUT,"MJP Versions L2, DB/TS items",Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,168,,'FI 04. Read-Only'.'Lock doorbelastingen/toeslagen','FI 04. Read-Only'.'Unlock doorbelastingen/toeslagen',,,"'└ IP 18b. Seizoenspatronen Calculatie Maand', 'CA 22. Berekening Doorbelastingen', 'CA 30. DB/TS naar Kostenplaats', 'CA 30a. DB/TS naar Afdeling', 'CA 36. Doorbelastingen naar Maand', 'CA 38. Toeslagen GBR', '└ CA 47a. Versturende Toeslag Indirect Staging', 'CA 45. Doorbelasting inflatie staging', 'CA 47. Toeslag Inflation Staging'",,"Versturende Afdeling, Grootboekrekening, Seizoenspatroon, Kostenplaats, Format input, Format seizoenspatroon"
└ IP 18a. Seizoenspatronen - DB/TS,INPUT,"MJP Versions L2, DB/TS items",Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,56,,,,,,,,"Evenredig 1/12, Handmatig"
└ IP 18b. Seizoenspatronen Calculatie Maand,INPUT,"MJP Versions L2, SS Rekeningcategorie - Doorbelastingen, SS DB/TS - Doorbelastingen",Month,TR MJP,Not Applicable,New Line Items: Off,Show All Users: On,33350,,,,,,'CA 36. Doorbelastingen naar Maand',,"Handmatig, Evenredig 1/12, Finaal Allocatie %, Finaal Allocatie, ---Technical---, Show Handmatig?, Show Evenredig 1/12?, DCA Handmatig, Format Input"
IP 19. UMDT op L3++ Thema's,INPUT,"MJP Versions L2, SIP Thema L3++, SS Afdeling L5 - Budget Afdelingen",Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,1097084,,,,,,"'IP 14. Directe toeslagen', 'IP 15. Uurtarieven', 'IP 20. UMDT Thema''s op Kostenplaats', 'CA 23. Berekend UMDT op L3++ Thema''s', '└  CA 23a. Allocatie naar Kostenplaats Thema L3 +', '└ CA 25a. FTE & Uurtarief input', '└  FI 07r. User Filters - Thema L3++ & Afdeling'",,"COE - Activiteit, COE - Activiteit LOOKUP, Eenheid, Q, Uurtarief Selectie, Normuren, Uren € (Handmatig), Uren € (handmatig) Final, Tarief, Uren €, Materiaal €, Diensten Derden €, % CAPEX, Directe Toeslag 1, Directe Toeslag 2, Geen indirecte toeslag?, Geen materiaal toeslag?, Materiaal Toeslag %, Geen OPSS toeslag?, Enkele Kostenplaats?, UMDT (€) per Q, UMDT (€) Totaal, UMD (€) Totaal, Toeslag (€), Kostenplaats Selectie, KPI Calculatie, Gealloceerd, KPI - % Gealloceerd, KPI - Nog te Alloceren, ---TECHNICAL---, CF KPI % Gealloceerd, Uren, Planning?, L5 Afdeling, Write Access - Stelpost, Write Access - Stuks, CAPEX % Selection, OPEX Q, CAPEX Q, Extern Q, Final Q, Extern Write?, Format, Materiaal Toeslag % Write, Format input, Format Capex, Format Stuks, Format Stelpost, Format Material Toeslag, Format gelijkende Toeslag, Format Enkele Kostenplaats"
IP 20. UMDT Thema's op Kostenplaats,INPUT,"MJP Versions L2, SIP Thema L3++, Support list #10, SS Afdeling L5 - Budget Afdelingen",Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,8915064,,'FI 04. Read-Only'.Lock all input,'FI 04. Read-Only'.Unlock all input,,,"'IP 19. UMDT op L3++ Thema''s', '└  CA 23a. Allocatie naar Kostenplaats Thema L3 +'",,"Afdeling, Subafdeling, Kostenplaats, 1 Kostenplaats Selectie, Q, UMDT Totaal (€), Allocation Method, Allocation %, Allocation Q, Allocation €, Allocation, Allocation Resultaat (€), Final Check, KPI Calculation - OLD TBD, KPI - Total Allocation (%), KPI - To allocate, ---TECHNICAL---, Allocation %?, Allocation Q?, Allocation €?, CF - Total Allocation, CF - Resultaat, Write?, Allocation Method Final, Format input, Format Allocation %, Format Allocation Q, Format Allocation €"
IP 21. Input KPI's - MJP,INPUT,"MJP Versions L2, KPI_Afdeling",Year,TR MJP,Not Applicable,New Line Items: Off,Show All Users: On,67650,,,,,,"'RP 17. KPI Waarde report creation', 'RP 18. KPI Waarde over years', 'RP 27. Check report overview'",,"KPI ID, KPI Name, Afdeling, Waarde, Format input, ---KPI---, Check on Verplicht filled, Waarde formula"
└ IP 21a. Input KPI's - Months,INPUT,"MJP Versions L2, KPI_Afdeling",Month,MJP BU TR,Not Applicable,New Line Items: Off,Show All Users: On,322261,,,,,,'RP 27. Check report overview',,"KPI ID, KPI Name, Afdeling, Waarde, Afdeling filter, Format input, ---KPI---, Check on Verplicht filled"
IP 22. Create KPI_Afdeling,INPUT,Support list #10,Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,510,,,,,,,,"Bestaande KPI selectie, KPI Code, KPI Bestaat (Alle afdelingen), Nieuwe KPI-invoer, KPI gebruikt?, KPI Naam Final, YTD Berekening, Groepering L1, Categorie L2, Eenheid, Afdeling, Afdeling Code, Content Leverancier (Optioneel), Data Leverancier (Optioneel), Business Controller 1, Business Controller 2 (Optioneel), Frequentie, Aangemaakt door, New code, KPI ID, Ready to create?, ---Create Validation---, KPI Code SPIN, ---Concat---, KPI_Afdeling, AN KPI_Afdeling, Validated for Create?, Create KPI_Afdeling, AN KPI, Create KPI, ---Input blank out---, KPI Naam blank, NEW KPI blank, KPI Code blank, YTD Bereking blank, Groupering L1 blank, Categorie L2 blank, Eenheid blank, Afdeling blank, Content leverancier blank, Data leverancier blank, Business controller blank, Frequentie blank, Aangemaakt door blank, ---AN ---, YTD Berekening text, ---FIlters---, New KPI?, Not New KPI?, Existing KPI?, Not Existing KPI?, Character > 60?, Subload IM 42?, Format new kpi, Format Input, Format not existing KPI"
